,Pruned Decision Tree using features from Link-Taget Identification ,Pruned Decision Tree using features from CoreEx,Pruned Decision Tree using features from both Link-Target Identification and CoreEx
Trial 1,93,89.2,97.7
Trial 2,93.9,89,96.5
Trial 3,94.5,88.1,96.8
Trial 4,94.2,89.8,96.5
Trial 5,94.2,88.4,97.1
Trial 6,94.2,90.1,97.1
Trial 7,93.6,88.1,96.2
Trial 8,94.5,89.8,96.8
Trial 9,94.1,90.7,96.5
Trial 10,93.9,87.8,97.1
Trial 11,94.2,87.5,96.5
Trial 12,94.5,88.7,97.1
Trial 13,94.5,88.7,97.1
Trial 14,94.7,89.2,96.8
Trial 15,93.4,89.9,96.5
Trial 16,94.2,89.5,97.1
Trial 17,94.5,90.1,96.8
Trial 18,93.9,90.1,97.1
Trial 19,94.8,88.7,97.1
Trial 20,93.9,90.7,96.5